City ID,City,Country,Lat,Lng,Temperature,Humidity,Clouds,Wind Speed
916246,Kabompo,ZM,-13.59,24.2,62.87,98,87,4.68
1626932,Singaraja,ID,-8.11,115.09,79.95,74,98,5.37
3899539,Antofagasta,CL,-23.65,-70.4,66.2,72,75,11.41
2172797,Cairns,AU,-16.92,145.77,86.0,62,100,2.24
3408343,Acopiara,BR,-6.1,-39.45,84.2,44,94,3.44
3899695,Ancud,CL,-41.87,-73.82,49.23,66,90,5.82
1622318,Waingapu,ID,-9.66,120.26,82.44,73,94,5.44
3437443,Pozo Colorado,PY,-23.49,-58.8,80.47,67,31,5.7
3461465,Iguape,BR,-24.71,-47.56,73.53,94,80,4.32
3893726,Constitución,CL,-35.33,-72.42,58.78,65,0,15.75
3453078,Ponte Nova,BR,-20.42,-42.91,69.22,91,79,2.75
1630789,Pontianak,ID,-0.03,109.33,75.09,91,100,3.18
2181625,Te Anau,NZ,-45.42,167.72,62.91,60,99,8.1
2065594,Mount Isa,AU,-20.73,139.5,89.6,40,100,8.05
4034551,Faanui,PF,-16.48,-151.75,80.67,78,66,18.25
2063056,Port Augusta,AU,-32.5,137.77,73.89,77,90,13.87
3865086,Bahía Blanca,AR,-38.72,-62.27,69.39,24,2,5.32
4033557,Tautira,PF,-17.73,-149.15,87.8,58,20,24.16
2171099,Codrington,AU,-38.27,141.97,56.28,93,100,10.27
4036284,Alofi,NU,-19.06,-169.92,78.8,94,90,21.92
3395981,Maceió,BR,-9.67,-35.74,75.2,88,20,3.36
3855075,General Pico,AR,-35.66,-63.76,69.42,21,0,9.42
2108857,Gizo Government Station,SB,-8.1,156.84,85.37,71,60,8.77
2063036,Port Lincoln,AU,-34.73,135.87,60.39,83,99,13.27
3842670,Olavarría,AR,-36.89,-60.32,61.65,30,0,0.92
2400547,Gamba,GA,-2.65,10.0,77.45,89,100,8.57
2173911,Broken Hill,AU,-31.95,141.43,77.0,47,0,16.11
3694112,Paita,PE,-5.09,-81.11,67.28,85,4,11.83
6255012,Flinders,AU,-34.58,150.86,73.15,97,90,7.0
3836277,Santa Fe,AR,-31.63,-60.7,77.45,63,51,1.99
3440777,Rocha,UY,-34.48,-54.33,59.81,67,65,8.28
3902202,Tupiza,BO,-21.45,-65.72,63.16,51,5,10.27
2071860,Esperance,AU,-33.87,121.9,60.8,63,40,11.41
1636308,Manokwari,ID,-0.87,134.08,82.29,78,100,6.26
2173125,Burnie,AU,-41.07,145.92,65.08,59,99,5.01
2094027,Kieta,PG,-6.22,155.63,85.5,67,39,6.02
3455020,Paraúna,BR,-16.95,-50.45,74.95,72,97,0.36
3386213,Touros,BR,-5.2,-35.46,80.6,78,40,13.87
3468436,Cachoeira do Sul,BR,-30.04,-52.89,73.51,59,1,9.26
175967,Mporokoso,ZM,-9.37,30.12,60.64,92,82,0.63
3347019,Mossamedes,AO,-15.2,12.15,66.4,81,66,4.29
3355672,Lüderitz,NA,-26.65,15.16,66.2,59,0,21.92
3445026,Vila Velha,BR,-20.33,-40.29,77.0,83,0,17.22
3932145,Pisco,PE,-13.7,-76.22,69.57,78,0,14.99
3935102,Mazamari,PE,-11.33,-74.53,74.08,77,100,1.68
3471522,Arinos,BR,-15.92,-46.11,72.63,65,1,1.81
2142316,Yeppoon,AU,-23.13,150.73,84.2,58,75,4.7
3691954,Sechura,PE,-5.56,-80.82,72.14,69,15,13.49
3356832,Henties Bay,NA,-22.12,14.28,61.0,89,43,3.42
2141305,Fayaoué,NC,-20.65,166.53,78.89,76,3,21.68
2063039,Port Keats,AU,-14.25,129.55,90.28,63,97,5.86
3939761,Hualmay,PE,-11.1,-77.61,68.11,81,36,7.34
877631,Namikupa,TZ,-10.83,39.6,71.01,98,35,3.67
3359736,Vredendal,ZA,-31.67,18.5,61.32,67,0,1.07
2180991,Tolaga Bay,NZ,-38.37,178.3,75.58,41,0,10.49
3899361,Arica,CL,-18.48,-70.3,68.0,77,0,6.93
1636426,Manggar,ID,-2.88,108.27,80.42,79,100,8.41
3403251,Canto do Buriti,BR,-8.11,-42.94,80.69,44,96,3.27
3449099,São Gabriel,BR,-30.34,-54.32,74.28,52,1,9.4
3894426,Coyhaique,CL,-45.58,-72.07,53.6,50,75,10.29
2132606,Samarai,PG,-10.62,150.67,83.79,71,34,7.05
159218,Ilembula,TZ,-8.9,34.58,63.77,85,56,5.68
3906209,Rurrenabaque,BO,-14.44,-67.53,84.2,74,75,1.95
2094746,Kandrian,PG,-6.22,149.55,84.7,73,100,3.94
1045114,Inhambane,MZ,-23.86,35.38,77.4,89,47,4.88
3843123,Neuquén,AR,-38.95,-68.06,77.0,25,0,3.36
3855065,General Roca,AR,-39.03,-67.58,77.0,25,0,3.36
2240449,Luanda,AO,-8.84,13.23,77.0,78,20,8.05
3892454,Diego de Almagro,CL,-26.37,-70.05,62.67,47,0,3.51
6620339,Karratha,AU,-20.74,116.85,81.57,66,62,3.8
3837213,San Juan,AR,-31.54,-68.54,78.24,17,3,9.62
3661756,Uarini,BR,-2.99,-65.11,77.0,88,40,2.24
1650077,Banyuwangi,ID,-8.23,114.36,76.96,82,99,2.84
2098329,Daru,PG,-9.08,143.21,83.19,82,87,9.82
2109528,Buala,SB,-8.14,159.59,84.99,75,88,7.31
